Category,Priority,File,Line,Link_Text,Target,Status,Impact
other,low,agents/README.md,146,ticket-executor.md,project-management/coordination/ticket-executor.md,BROKEN,Navigation disruption in other system
other,low,agents/README.md,149,project-optimizer.md,project-management/analytics/project-optimizer.md,BROKEN,Navigation disruption in other system
command,high,agents/README.md,304,Browse commands for task execution,../docs/commands/index.md,BROKEN,Navigation disruption in command system
other,low,agents/AGENTS_ONLY.md,87,Deploy agent-architect.md for agent creation,agent-architect.md,BROKEN,Navigation disruption in other system
other,low,agents/AGENTS_ONLY.md,88,Use agent-creator.md to create new agents,agent-creator.md,BROKEN,Navigation disruption in other system
other,low,agents/AGENTS_ONLY.md,89,Consult delegation-advisor.md for routing,delegation-advisor.md,BROKEN,Navigation disruption in other system
other,low,agents/AGENTS_ONLY.md,90,Execute migration-specialist.md for system migrations,migration-specialist.md,BROKEN,Navigation disruption in other system
other,low,agents/AGENTS_ONLY.md,91,Execute project-optimizer.md for optimization,project-optimizer.md,BROKEN,Navigation disruption in other system
other,low,agents/AGENTS_ONLY.md,92,Execute ticket-executor.md for ticket execution,ticket-executor.md,BROKEN,Navigation disruption in other system
navigation,high,agents/PRIORITY_AGENT_DIVISIONS.md,284,Follow validation methodology for quality assurance,../docs/components/validation-methodology.md,BROKEN,Navigation disruption in navigation system
command,high,agents/development/quality/complexity-reduction-specialist.md,504,Contribute to system-audit analysis,../../../commands/analysis/system-audit.md,BROKEN,Navigation disruption in command system
command,high,agents/development/quality/complexity-reduction-specialist.md,505,Enhance modularize workflows,../../../commands/analysis/modularize.md,BROKEN,Navigation disruption in command system
navigation,high,agents/development/quality/complexity-reduction-specialist.md,511,Integrate validation framework,../../../docs/components/validation-framework.md,BROKEN,Navigation disruption in navigation system
command,high,agents/development/quality/over-engineering-detector.md,655,Support system-audit comprehensive analysis,../../../commands/analysis/system-audit.md,BROKEN,Navigation disruption in command system
navigation,high,agents/development/quality/over-engineering-detector.md,661,Follow SIMPLE framework,../../../docs/principles/engineering.md#the-simple-framework,BROKEN,Navigation disruption in navigation system
workflow,high,agents/development/workflow/git-workflow-specialist.md,27,git-workflow.md systematic integration,../docs/principles/git-workflow.md,BROKEN,Navigation disruption in workflow system
workflow,high,agents/development/workflow/git-workflow-specialist.md,27,workflow.md 8-phase methodology,../docs/principles/workflow.md,BROKEN,Navigation disruption in workflow system
navigation,high,agents/content/technical-writer.md,429,API Documentation,./docs/api.md,BROKEN,Navigation disruption in navigation system
navigation,high,agents/content/technical-writer.md,430,Architecture Overview,./docs/architecture.md,BROKEN,Navigation disruption in navigation system
other,low,agents/content/technical-writer.md,431,Contributing Guidelines,./CONTRIBUTING.md,BROKEN,Navigation disruption in other system
other,low,agents/content/technical-writer.md,432,Code of Conduct,./CODE_OF_CONDUCT.md,BROKEN,Navigation disruption in other system
other,low,agents/content/technical-writer.md,536,📖 Task Management Guide,./task-management.md,BROKEN,Navigation disruption in other system
other,low,agents/content/technical-writer.md,537,🎨 Design Asset Organization,./design-assets.md,BROKEN,Navigation disruption in other system
other,low,agents/content/technical-writer.md,538,👥 Team Collaboration Features,./collaboration.md,BROKEN,Navigation disruption in other system
other,low,agents/content/technical-writer.md,539,📊 Project Analytics and Reporting,./analytics.md,BROKEN,Navigation disruption in other system
other,low,docs/agents-guide.md,35,Deploy project-optimizer.md to analyze codebase,project-optimizer.md,BROKEN,Navigation disruption in other system
other,low,docs/agents-guide.md,36,Use agent-creator.md to build specialized tools,agent-creator.md,BROKEN,Navigation disruption in other system
other,low,docs/agents-guide.md,37,Apply delegation-advisor.md to route tasks,delegation-advisor.md,BROKEN,Navigation disruption in other system
other,low,docs/agents-guide.md,38,Study agent-architect.md for gold standard,agent-architect.md,BROKEN,Navigation disruption in other system
command,high,docs/agents-guide.md,95,Execute create-ticket.md for task management,../commands/create-ticket.md,BROKEN,Navigation disruption in command system
command,high,docs/agents-guide.md,96,Run analyze-file.md for file examination,../commands/analyze-file.md,BROKEN,Navigation disruption in command system
command,high,docs/agents-guide.md,97,Use update-docs.md for documentation maintenance,../commands/update-docs.md,BROKEN,Navigation disruption in command system
navigation,critical,docs/commands-index.md,14,Next: Browse project-optimizer for analysis,../agents/project-optimizer.md,BROKEN,Navigation disruption in navigation system
other,critical,docs/commands-index.md,32,Deploy create-ticket.md for systematic tracking,create-ticket.md,BROKEN,Navigation disruption in other system
other,critical,docs/commands-index.md,35,Execute review-tickets.md for priority-based execution,review-tickets.md,BROKEN,Navigation disruption in other system
other,critical,docs/commands-index.md,39,Apply modularize.md for component extraction,modularize.md,BROKEN,Navigation disruption in other system
other,critical,docs/commands-index.md,43,Execute system-audit.md for comprehensive analysis,system-audit.md,BROKEN,Navigation disruption in other system
workflow,critical,docs/commands-index.md,58,workflow.md systematic execution,../docs/principles/workflow.md#execution-phases,BROKEN,Navigation disruption in workflow system
workflow,critical,docs/commands-index.md,63,workflow.md for standard methodology,../docs/principles/workflow.md#eight-phase-methodology,BROKEN,Navigation disruption in workflow system
workflow,critical,docs/commands-index.md,77,Reference workflow.md for methodology,../docs/principles/workflow.md#eight-phase-methodology,BROKEN,Navigation disruption in workflow system
workflow,critical,docs/commands-index.md,111,workflow.md for consistent execution,../docs/principles/workflow.md#eight-phase-methodology,BROKEN,Navigation disruption in workflow system
navigation,critical,docs/commands-index.md,140,Deploy project-optimizer for complex analysis,../agents/project-optimizer.md,BROKEN,Navigation disruption in navigation system
other,critical,docs/commands-index.md,148,Deploy create-ticket.md for task tracking,create-ticket.md,BROKEN,Navigation disruption in other system
other,critical,docs/commands-index.md,149,Execute review-tickets.md for priority-based execution,review-tickets.md,BROKEN,Navigation disruption in other system
other,critical,docs/commands-index.md,150,Apply modularize.md for component extraction,modularize.md,BROKEN,Navigation disruption in other system
other,critical,docs/commands-index.md,151,Execute system-audit.md for comprehensive analysis,system-audit.md,BROKEN,Navigation disruption in other system
command,high,docs/COMMANDS.md,17,Next: Browse commands index for tools,commands/index.md,BROKEN,Navigation disruption in command system
workflow,low,docs/COMMANDS.md,38,Execute workflow.md#clarification for systematic confirmation,principles/workflow.md#1-clarification,BROKEN,Navigation disruption in workflow system
other,low,docs/COMMANDS.md,44,Deploy fundamental.md#context-methods for information gathering,principles/fundamental.md#context-methods,BROKEN,Navigation disruption in other system
workflow,low,docs/COMMANDS.md,45,Apply workflow.md#exploration for comprehensive discovery,principles/workflow.md#2-exploration,BROKEN,Navigation disruption in workflow system
workflow,low,docs/COMMANDS.md,51,Execute workflow.md#analysis for pattern identification,principles/workflow.md#3-analysis,BROKEN,Navigation disruption in workflow system
other,low,docs/COMMANDS.md,52,Implement engineering.md#standards for technical validation,principles/engineering.md#standards,BROKEN,Navigation disruption in other system
workflow,low,docs/COMMANDS.md,58,Deploy workflow.md#planning for systematic approach design,principles/workflow.md#4-planning,BROKEN,Navigation disruption in workflow system
other,low,docs/COMMANDS.md,59,Structure with organization.md#hierarchy for logical content,principles/organization.md#hierarchy,BROKEN,Navigation disruption in other system
workflow,low,docs/COMMANDS.md,65,Execute workflow.md#implementation for systematic execution,principles/workflow.md#5-implementation,BROKEN,Navigation disruption in workflow system
other,low,docs/COMMANDS.md,66,Apply files.md#operations for efficient file management,principles/files.md#operations,BROKEN,Navigation disruption in other system
workflow,low,docs/COMMANDS.md,72,Track workflow.md#ripple-effect for cascading changes,principles/workflow.md#6-ripple-effect,BROKEN,Navigation disruption in workflow system
workflow,low,docs/COMMANDS.md,73,Verify impacts for complete coverage,principles/workflow.md#6-ripple-effect,BROKEN,Navigation disruption in workflow system
workflow,low,docs/COMMANDS.md,79,Execute workflow.md#validation for systematic verification,principles/workflow.md#7-validation,BROKEN,Navigation disruption in workflow system
other,low,docs/COMMANDS.md,80,Apply fundamental.md#evidence for proof requirements,principles/fundamental.md#evidence,BROKEN,Navigation disruption in other system
workflow,low,docs/COMMANDS.md,86,Implement workflow.md#recursion for iterative improvement,principles/workflow.md#8-recursion,BROKEN,Navigation disruption in workflow system
other,low,docs/COMMANDS.md,87,Validate against directive.md execution rules for success criteria,principles/directive.md#execution-rules,BROKEN,Navigation disruption in other system
other,low,docs/COMMANDS.md,117,Apply organization.md#structure for logical hierarchy,principles/organization.md#structure,BROKEN,Navigation disruption in other system
other,low,docs/COMMANDS.md,118,Implement fundamental.md#simplicity for minimal complexity,principles/fundamental.md#simplicity,BROKEN,Navigation disruption in other system
other,low,docs/COMMANDS.md,126,Apply engineering.md#design-principles for modular architecture,principles/engineering.md#design-principles,BROKEN,Navigation disruption in other system
command,high,docs/transcription-superwhisper.md,278,Browse Commands for available tools,commands/index.md,BROKEN,Navigation disruption in command system
other,low,docs/transcription-superwhisper.md,279,Review Project Structure for file organization,PROJECT_STRUCTURE.md,BROKEN,Navigation disruption in other system
other,critical,docs/index.md,88,TICKET_REGISTRY.md,../TICKET_REGISTRY.md,BROKEN,Navigation disruption in other system
other,low,docs/COMMAND_CONSOLIDATION_SPECIFICATION.md,812,Use command templates,templates/enhanced-command-template.md,BROKEN,Navigation disruption in other system
other,low,docs/COMMAND_CONSOLIDATION_SPECIFICATION.md,816,Use quality components,components/quality-frameworks.md,BROKEN,Navigation disruption in other system
navigation,medium,docs/agent-capability-matrix.md,191,Deploy monitoring-specialist for real-time monitoring,../agents/monitoring-specialist.md,BROKEN,Navigation disruption in navigation system
navigation,medium,docs/agent-capability-matrix.md,192,Use system-auditor for static analysis and compliance,../agents/system-auditor.md,BROKEN,Navigation disruption in navigation system
navigation,medium,docs/agent-capability-matrix.md,193,Apply validation-engineer for quality methodology,../agents/validation-engineer.md,BROKEN,Navigation disruption in navigation system
other,low,docs/integration/analytics-agent-deployment-guide.md,16,Return to Integration Hub,index.md,BROKEN,Navigation disruption in other system
workflow,low,docs/integration/analytics-agent-deployment-guide.md,16,Next: Multi-Analysis Workflows,multi-analysis-workflows.md,BROKEN,Navigation disruption in workflow system
registry,medium,planning/TICKET_REGISTRY.md,58,Comprehensive Link Audit,tickets/pending/nav-001-comprehensive-link-audit.md,BROKEN,Navigation disruption in registry system
registry,medium,planning/TICKET_REGISTRY.md,59,Link Scanner Script,tickets/pending/nav-002-link-scanner-script.md,BROKEN,Navigation disruption in registry system
registry,medium,planning/TICKET_REGISTRY.md,60,Link Updater Script,tickets/pending/nav-003-link-updater-script.md,BROKEN,Navigation disruption in registry system
registry,medium,planning/TICKET_REGISTRY.md,63,Pattern Generation Framework,tickets/completed/agent-creation-002-pattern-generation-framework.md,BROKEN,Navigation disruption in registry system
registry,medium,planning/TICKET_REGISTRY.md,73,Pattern Generation Framework,tickets/completed/agent-creation-002-pattern-generation-framework.md,BROKEN,Navigation disruption in registry system
registry,medium,planning/TICKET_REGISTRY.md,77,Breadcrumb Generator Script,tickets/pending/nav-004-breadcrumb-generator-script.md,BROKEN,Navigation disruption in registry system
registry,medium,planning/TICKET_REGISTRY.md,78,Registry Validator Script,tickets/pending/nav-005-registry-validator-script.md,BROKEN,Navigation disruption in registry system
registry,medium,planning/TICKET_REGISTRY.md,79,Workflow Fixer Script,tickets/pending/nav-006-workflow-fixer-script.md,BROKEN,Navigation disruption in registry system
registry,medium,planning/TICKET_REGISTRY.md,80,Integrity Monitor System,tickets/pending/nav-007-integrity-monitor-system.md,BROKEN,Navigation disruption in registry system
registry,medium,planning/TICKET_REGISTRY.md,81,Automated Link Maintenance Principle,tickets/pending/nav-008-automated-link-maintenance-principle.md,BROKEN,Navigation disruption in registry system
other,low,planning/tickets/completed/consolidation-004-agent-capability-overlap.md,18,Next: Browse active tickets,../../TICKET_REGISTRY.md#active-tickets---immediate-attention,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/consolidation-004-agent-capability-overlap.md,161,engineering.md,../../principles/engineering.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/consolidation-004-agent-capability-overlap.md,162,agent-selection.md,../../principles/agent-selection.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/consolidation-004-agent-capability-overlap.md,163,communication.md,../../principles/communication.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/consolidation-004-agent-capability-overlap.md,229,agent-capability-matrix.md,../../agent-capability-matrix.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/consolidation-004-agent-capability-overlap.md,230,agent-selection.md,../../principles/agent-selection.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/consolidation-004-agent-capability-overlap.md,249,View completed tickets,../../TICKET_REGISTRY.md#completed-tickets,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-004-component-extraction-specialist.md,26,agent-definition.md,../principles/agent-definition.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-004-component-extraction-specialist.md,26,simplicity.md,../principles/simplicity.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-004-component-extraction-specialist.md,81,agent-definition.md,../principles/agent-definition.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-004-component-extraction-specialist.md,91,simplicity.md,../principles/simplicity.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-004-component-extraction-specialist.md,92,organization.md,../principles/organization.md,BROKEN,Navigation disruption in other system
workflow,low,planning/tickets/completed/agent-creation-004-component-extraction-specialist.md,95,workflow.md,../principles/workflow.md,BROKEN,Navigation disruption in workflow system
other,low,planning/tickets/completed/agent-creation-004-component-extraction-specialist.md,96,engineering.md,../principles/engineering.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-004-component-extraction-specialist.md,97,dynamic-adaptation.md,../principles/dynamic-adaptation.md,BROKEN,Navigation disruption in other system
workflow,low,planning/tickets/completed/agent-creation-006-workflow-coordinator-specialist.md,23,workflow.md,../../principles/workflow.md,BROKEN,Navigation disruption in workflow system
workflow,low,planning/tickets/completed/agent-creation-006-workflow-coordinator-specialist.md,89,workflow.md,../../principles/workflow.md,BROKEN,Navigation disruption in workflow system
workflow,low,planning/tickets/completed/agent-creation-006-workflow-coordinator-specialist.md,100,workflow.md,../../principles/workflow.md,BROKEN,Navigation disruption in workflow system
other,low,planning/tickets/completed/agent-creation-006-workflow-coordinator-specialist.md,101,task-orchestration.md,../../principles/task-orchestration.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-006-workflow-coordinator-specialist.md,102,agent-selection.md,../../principles/agent-selection.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-005-dependency-analysis-specialist.md,23,agent-definition.md,../principles/agent-definition.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-005-dependency-analysis-specialist.md,23,engineering.md,../principles/engineering.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-005-dependency-analysis-specialist.md,78,agent-definition.md,../principles/agent-definition.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-005-dependency-analysis-specialist.md,88,engineering.md,../principles/engineering.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-005-dependency-analysis-specialist.md,89,organization.md,../principles/organization.md,BROKEN,Navigation disruption in other system
workflow,low,planning/tickets/completed/agent-creation-005-dependency-analysis-specialist.md,92,workflow.md,../principles/workflow.md,BROKEN,Navigation disruption in workflow system
other,low,planning/tickets/completed/agent-creation-005-dependency-analysis-specialist.md,93,dynamic-adaptation.md,../principles/dynamic-adaptation.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/agent-creation-005-dependency-analysis-specialist.md,94,task-orchestration.md,../principles/task-orchestration.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/audit-simp-002-oversized-system-audit-command.md,25,simplicity.md,../../principles/simplicity.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/audit-simp-002-oversized-system-audit-command.md,25,modular-design-patterns.md,../../components/modular-design-patterns.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/audit-simp-002-oversized-system-audit-command.md,57,audit-framework-components.md,../../components/audit-framework-components.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/audit-simp-002-oversized-system-audit-command.md,58,validation-framework-components.md,../../components/validation-framework-components.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/audit-simp-002-oversized-system-audit-command.md,59,auto-ticket-generation-framework.md,../../components/auto-ticket-generation-framework.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/audit-simp-002-oversized-system-audit-command.md,60,architecture-documentation-templates.md,../../components/architecture-documentation-templates.md,BROKEN,Navigation disruption in other system
command,high,planning/tickets/completed/audit-simp-002-oversized-system-audit-command.md,153,Final Optimized File,/Users/nalve/.claude/commands/analysis/system-audit.md,BROKEN,Navigation disruption in command system
other,low,planning/tickets/completed/audit-simp-002-oversized-system-audit-command.md,158,Simplicity Principle,../../principles/simplicity.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/audit-simp-002-oversized-system-audit-command.md,159,Modular Design Patterns,../../components/modular-design-patterns.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/audit-simp-002-oversized-system-audit-command.md,160,Component Integration Guidelines,../../components/command-architecture-patterns.md,BROKEN,Navigation disruption in other system
navigation,high,planning/tickets/completed/007-footer-navigation.md,24,Back to Documentation Hub,../docs/index.md,BROKEN,Navigation disruption in navigation system
other,low,planning/tickets/completed/consolidation-002-initialization-sequences.md,129,engineering.md,../../principles/engineering.md,BROKEN,Navigation disruption in other system
workflow,low,planning/tickets/completed/consolidation-002-initialization-sequences.md,130,workflow.md,../../principles/workflow.md,BROKEN,Navigation disruption in workflow system
other,low,planning/tickets/completed/consolidation-002-initialization-sequences.md,131,communication.md,../../principles/communication.md,BROKEN,Navigation disruption in other system
navigation,high,planning/tickets/completed/agent-001-ticket-executor-agent.md,24,agent-selection.md mandatory requirements,../../docs/principles/agent-selection.md#ticket-generation-requirements,BROKEN,Navigation disruption in navigation system
navigation,high,planning/tickets/completed/agent-001-ticket-executor-agent.md,96,agent-definition.md,../../docs/principles/agent-definition.md,BROKEN,Navigation disruption in navigation system
navigation,high,planning/tickets/completed/agent-001-ticket-executor-agent.md,96,engineering.md,../../docs/principles/engineering.md,BROKEN,Navigation disruption in navigation system
command,high,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,20,Previous: Study Enhanced Create Ticket,../../commands/management/create-ticket.md,BROKEN,Navigation disruption in command system
other,low,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,20,Return to Registry,../TICKET_REGISTRY.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,20,Study Architecture Patterns,../../components/command-architecture-patterns.md,BROKEN,Navigation disruption in other system
command,high,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,458,Study Enhanced Command Architecture,../../commands/templates/enhanced-command-template.md,BROKEN,Navigation disruption in command system
navigation,high,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,459,Review Command-Centered Architecture,../../docs/components/command-architecture-patterns.md,BROKEN,Navigation disruption in navigation system
navigation,high,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,460,Access Validation Framework,../../docs/components/validation-framework.md,BROKEN,Navigation disruption in navigation system
other,low,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,463,ARCH-001: Command-Centered Architecture Integration,completed/arch-001-command-centered-architecture.md,BROKEN,Navigation disruption in other system
navigation,high,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,465,Study Agent Selection Principles,../../docs/principles/agent-selection.md,BROKEN,Navigation disruption in navigation system
other,low,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,468,Return to CLAUDE.md ULTIMATE AUTHORITY,../../CLAUDE.md,BROKEN,Navigation disruption in other system
workflow,high,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,469,Study Workflow Methodology,../../docs/principles/workflow.md,BROKEN,Navigation disruption in workflow system
navigation,high,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,470,Access Engineering Standards,../../docs/principles/engineering.md,BROKEN,Navigation disruption in navigation system
other,low,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,473,Update TICKET_REGISTRY.md,../TICKET_REGISTRY.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,474,Synchronize PROJECT_STRUCTURE.md,../../PROJECT_STRUCTURE.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/pattern-gen-001-comprehensive-pattern-generation-framework.md,475,Review Ticket Methodology,../TICKET_METHODOLOGY.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/aud-004-inconsistent-navigation-patterns.md,23,organization.md,../../principles/organization.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/aud-004-inconsistent-navigation-patterns.md,23,communication.md,../../principles/communication.md,BROKEN,Navigation disruption in other system
other,low,planning/tickets/completed/aud-004-inconsistent-navigation-patterns.md,104,"Previous:"" docs/ commands/ | head -10

# Verify action verbs in links
grep -r ""\[.*\",.*\.md,BROKEN,Navigation disruption in other system
